Downcast,Hour,minute,second,s/1000,Count,App_in_hse
6,19,54,8,804,0,0
6,19,54,8,861,0,0
6,19,54,11,516,0,0
6,19,54,12,613,0,0
6,19,54,14,402,0,0
6,19,54,16,133,0,0
6,19,54,17,692,0,0
6,19,54,17,9232,0,0
6,19,54,18,730,0,0
6,19,54,18,788,0,0
6,19,54,19,77,0,0
6,19,54,19,596,0,0
6,19,54,19,654,0,0
6,19,54,20,231,0,0
6,19,54,20,289,0,0
6,19,54,4,360,0,3
6,19,54,5,514,0,1
6,19,54,10,420,0,1
6,19,54,15,43,0,1
6,19,54,16,191,0,1
6,19,54,20,808,0,0
6,19,54,20,866,0,0
6,19,54,21,328,0,0
6,19,54,21,386,0,0
6,19,54,21,732,0,0
6,19,54,22,45,0,0
6,19,54,22,136,0,0
6,19,54,22,309,0,0
6,19,54,23,348,0,0
6,19,54,23,636,0,0
6,19,54,23,752,0,0
6,19,54,23,810,0,0
6,19,54,23,869,0,0
6,19,54,24,214,0,0
6,19,54,24,502,0,0
6,19,54,24,733,0,0
6,19,54,24,906,0,0
6,19,54,25,22,0,0
6,19,54,25,137,0,0
6,19,54,25,195,0,0
6,19,54,25,599,0,0
6,19,54,26,118,0,0
6,19,54,26,176,0,0
6,19,54,26,349,0,0
6,19,54,26,407,0,0
6,19,54,26,984,0,0
6,19,54,27,330,0,0
6,19,54,27,388,0,0
6,19,54,27,561,0,0
6,19,54,27,965,0,0
6,19,54,28,138,0,0
6,19,54,28,196,0,0
6,19,54,28,427,0,0
6,19,54,28,658,0,0
6,19,54,28,831,0,0
6,19,54,29,62,0,0
6,19,54,29,120,0,0
6,19,54,29,177,0,0
6,19,54,29,466,0,0
6,19,54,29,639,0,0
6,19,54,29,754,0,0
6,19,54,29,812,0,0
6,19,54,29,870,0,0
6,19,54,30,43,0,0
6,19,54,30,274,0,0
6,19,54,30,332,0,0
6,19,54,30,562,0,0
6,19,54,30,736,0,0
6,19,54,30,909,0,0
6,19,54,31,24,0,0
6,19,54,31,255,0,0
6,19,54,31,601,0,0
6,19,54,31,775,0,0
6,19,54,31,890,0,0
6,19,54,31,948,0,0
6,19,54,32,5,0,0
6,19,54,32,121,0,0
6,19,54,32,236,0,0
6,19,54,33,275,0,0
6,19,54,33,506,0,0
6,19,54,33,910,0,0
6,19,54,34,372,0,0
6,19,54,34,949,0,0
6,19,54,35,584,0,0
6,19,54,35,757,0,0
6,19,54,35,815,0,0
6,19,54,36,46,0,0
6,19,54,36,161,0,0
6,19,54,36,450,0,0
6,19,54,36,623,0,0
6,19,54,37,200,0,0
6,19,54,37,431,0,0
6,19,54,22,886,0,2
6,19,54,33,275,0,1
6,19,54,34,430,0,1
6,19,54,37,893,0,1
6,19,54,38,238,0,0
6,19,54,38,296,0,0
