"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-Aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL"
5,19,36,50,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,50,980,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
5,19,36,51,153,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,19,36,51,442,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,19,36,51,731,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,51,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
5,19,36,51,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
5,19,36,52,19,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
5,19,36,52,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,52,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,52,712,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
